Transaction ID,Transaction Date,Customer ID,Payment Method,Transaction Amount,Transaction Status,Merchant ID,Region,Currency,Transaction Hour,Transaction Day,Transaction Month,Transaction Year
TX1000,2024-10-30 06:02:00,CUST189,PayPal,451,Successful,M1049,Asia,USD,6,30,10,2024
TX1001,2024-11-18 10:10:00,CUST108,Credit Card,461,Successful,M1006,Europe,JPY,10,18,11,2024
TX1002,2024-06-11 09:59:00,CUST165,PayPal,427,Pending,M1019,North America,EUR,9,11,6,2024
TX1003,2024-10-27 07:39:00,CUST140,PayPal,309,Successful,M1027,Europe,EUR,7,27,10,2024
TX1004,2024-07-29 20:30:00,CUST173,Credit Card,380,Successful,M1025,North America,USD,20,29,7,2024
TX1005,2024-05-27 20:43:00,CUST105,Debit Card,350,Successful,M1039,North America,EUR,20,27,5,2024
TX1006,2024-12-26 20:44:00,CUST140,Credit Card,447,Successful,M1025,Europe,USD,20,26,12,2024
TX1007,2024-10-19 16:21:00,CUST152,Debit Card,475,Successful,M1014,Asia,EUR,16,19,10,2024
TX1008,2024-11-05 13:05:00,CUST187,Bank Transfer,413,Successful,M1026,North America,USD,13,5,11,2024
TX1009,2024-12-02 01:54:00,CUST143,Bank Transfer,514,Failed,M1004,Europe,EUR,1,2,12,2024
TX1010,2024-06-28 04:04:00,CUST159,Debit Card,338,Successful,M1001,North America,USD,4,28,6,2024
TX1011,2024-10-24 14:11:00,CUST186,Debit Card,365,Pending,M1034,Europe,JPY,14,24,10,2024
TX1012,2024-06-10 08:28:00,CUST184,Debit Card,423,Successful,M1029,Europe,JPY,8,10,6,2024
TX1013,2024-04-24 12:19:00,CUST141,PayPal,467,Pending,M1042,North America,JPY,12,24,4,2024
TX1014,2024-03-09 21:45:00,CUST153,Debit Card,308,Successful,M1004,North America,USD,21,9,3,2024
TX1015,2024-12-27 02:01:00,CUST102,Bank Transfer,403,Successful,M1003,Asia,EUR,2,27,12,2024
TX1016,2024-08-28 09:30:00,CUST129,PayPal,469,Successful,M1012,North America,EUR,9,28,8,2024
TX1017,2024-08-30 08:56:00,CUST145,Credit Card,545,Successful,M1050,Europe,JPY,8,30,8,2024
TX1018,2024-03-25 16:33:00,CUST106,Credit Card,514,Pending,M1001,Asia,USD,16,25,3,2024
TX1019,2024-08-27 08:05:00,CUST162,PayPal,339,Successful,M1013,Europe,USD,8,27,8,2024
TX1020,2024-10-04 06:17:00,CUST138,Debit Card,349,Successful,M1034,Europe,EUR,6,4,10,2024
TX1021,2024-05-29 14:39:00,CUST188,Credit Card,365,Failed,M1048,Europe,USD,14,29,5,2024
TX1022,2024-10-01 07:28:00,CUST130,Debit Card,378,Failed,M1024,Europe,USD,7,1,10,2024
TX1023,2024-01-17 07:29:00,CUST115,Credit Card,373,Successful,M1007,Asia,USD,7,17,1,2024
TX1024,2024-06-10 05:12:00,CUST192,PayPal,324,Pending,M1042,North America,USD,5,10,6,2024
TX1025,2024-12-20 16:50:00,CUST126,Debit Card,507,Failed,M1012,Europe,USD,16,20,12,2024
TX1026,2024-09-17 14:59:00,CUST102,Debit Card,375,Successful,M1026,Europe,EUR,14,17,9,2024
TX1027,2024-03-02 03:55:00,CUST141,Bank Transfer,311,Successful,M1023,Europe,USD,3,2,3,2024
TX1028,2024-05-18 19:11:00,CUST139,Credit Card,457,Successful,M1044,North America,USD,19,18,5,2024
TX1029,2024-06-19 00:42:00,CUST183,Credit Card,354,Failed,M1025,Europe,USD,0,19,6,2024
TX1030,2024-09-18 06:47:00,CUST154,Credit Card,367,Successful,M1004,Asia,EUR,6,18,9,2024
TX1031,2024-07-20 12:54:00,CUST183,Debit Card,375,Pending,M1019,Asia,JPY,12,20,7,2024
TX1032,2024-03-14 00:03:00,CUST131,Bank Transfer,531,Successful,M1038,North America,JPY,0,14,3,2024
TX1033,2024-08-03 17:45:00,CUST177,Debit Card,376,Successful,M1042,North America,JPY,17,3,8,2024
TX1034,2024-03-02 06:39:00,CUST121,Bank Transfer,506,Successful,M1008,North America,USD,6,2,3,2024
TX1035,2024-01-05 22:03:00,CUST122,PayPal,376,Successful,M1027,Asia,USD,22,5,1,2024
TX1036,2024-08-06 10:11:00,CUST162,PayPal,306,Successful,M1019,Europe,USD,10,6,8,2024
TX1037,2024-07-13 11:13:00,CUST111,Bank Transfer,523,Successful,M1042,Asia,JPY,11,13,7,2024
TX1038,2024-10-16 09:37:00,CUST146,Debit Card,530,Failed,M1006,Europe,EUR,9,16,10,2024
TX1039,2024-02-10 15:15:00,CUST190,Debit Card,312,Successful,M1014,Asia,USD,15,10,2,2024
TX1040,2024-02-28 11:52:00,CUST181,PayPal,515,Successful,M1035,North America,USD,11,28,2,2024
TX1041,2024-07-09 17:32:00,CUST181,Bank Transfer,468,Pending,M1008,Asia,JPY,17,9,7,2024
TX1042,2024-08-22 18:55:00,CUST194,PayPal,531,Successful,M1009,North America,JPY,18,22,8,2024
TX1043,2024-03-06 14:35:00,CUST149,PayPal,518,Successful,M1002,Europe,EUR,14,6,3,2024
TX1044,2024-10-23 07:22:00,CUST199,Credit Card,465,Successful,M1044,North America,JPY,7,23,10,2024
TX1045,2024-09-29 05:09:00,CUST116,Debit Card,339,Pending,M1012,Europe,EUR,5,29,9,2024
TX1046,2024-10-30 22:13:00,CUST113,Credit Card,339,Successful,M1019,Europe,EUR,22,30,10,2024
TX1047,2024-05-31 06:32:00,CUST117,Credit Card,386,Successful,M1022,Europe,JPY,6,31,5,2024
TX1048,2024-05-19 01:48:00,CUST118,Credit Card,396,Successful,M1035,Asia,EUR,1,19,5,2024
TX1049,2024-03-02 14:30:00,CUST164,Debit Card,314,Successful,M1025,Europe,USD,14,2,3,2024
TX1050,2024-10-17 21:27:00,CUST180,Debit Card,337,Successful,M1045,Asia,USD,21,17,10,2024
TX1051,2024-05-23 15:15:00,CUST164,PayPal,434,Successful,M1018,Europe,EUR,15,23,5,2024
TX1052,2024-09-06 08:54:00,CUST179,Bank Transfer,309,Successful,M1035,North America,EUR,8,6,9,2024
TX1053,2024-07-26 10:52:00,CUST183,Credit Card,365,Successful,M1018,Europe,EUR,10,26,7,2024
TX1054,2024-06-27 12:16:00,CUST167,PayPal,542,Successful,M1020,Europe,USD,12,27,6,2024
TX1055,2024-02-03 11:24:00,CUST136,PayPal,527,Failed,M1006,Asia,EUR,11,3,2,2024
TX1056,2024-01-22 03:20:00,CUST108,Credit Card,465,Successful,M1013,Asia,JPY,3,22,1,2024
TX1057,2024-11-23 13:04:00,CUST169,Bank Transfer,335,Successful,M1046,Asia,EUR,13,23,11,2024
TX1058,2024-11-29 00:11:00,CUST180,PayPal,489,Successful,M1007,North America,USD,0,29,11,2024
TX1059,2024-12-08 22:18:00,CUST141,Bank Transfer,547,Pending,M1018,Asia,USD,22,8,12,2024
TX1060,2024-08-20 05:09:00,CUST144,Bank Transfer,343,Successful,M1008,North America,JPY,5,20,8,2024
TX1061,2024-04-10 16:39:00,CUST106,Bank Transfer,437,Successful,M1033,North America,USD,16,10,4,2024
TX1062,2024-06-19 00:26:00,CUST113,Debit Card,344,Successful,M1047,North America,JPY,0,19,6,2024
TX1063,2024-01-31 03:07:00,CUST174,Debit Card,457,Failed,M1023,Europe,EUR,3,31,1,2024
TX1064,2024-11-02 12:46:00,CUST131,Bank Transfer,376,Successful,M1025,Asia,EUR,12,2,11,2024
TX1065,2024-07-07 05:32:00,CUST175,Bank Transfer,494,Successful,M1003,North America,USD,5,7,7,2024
TX1066,2024-08-26 12:31:00,CUST167,Debit Card,508,Successful,M1037,Asia,JPY,12,26,8,2024
TX1067,2024-12-10 14:53:00,CUST175,Bank Transfer,306,Successful,M1041,Europe,USD,14,10,12,2024
TX1068,2024-10-12 05:05:00,CUST172,Debit Card,396,Successful,M1045,Asia,USD,5,12,10,2024
TX1069,2024-06-29 15:47:00,CUST186,Credit Card,363,Successful,M1027,North America,USD,15,29,6,2024
TX1070,2024-03-09 16:44:00,CUST127,PayPal,458,Pending,M1045,Europe,USD,16,9,3,2024
TX1071,2024-12-10 18:16:00,CUST169,Credit Card,481,Failed,M1030,Asia,USD,18,10,12,2024
TX1072,2024-01-06 08:42:00,CUST148,Bank Transfer,419,Successful,M1037,Asia,USD,8,6,1,2024
TX1073,2024-03-23 12:06:00,CUST136,Credit Card,447,Successful,M1020,North America,JPY,12,23,3,2024
TX1074,2024-12-19 08:33:00,CUST179,Credit Card,519,Successful,M1022,Europe,USD,8,19,12,2024
TX1075,2024-04-02 18:45:00,CUST148,Bank Transfer,463,Successful,M1028,Asia,JPY,18,2,4,2024
TX1076,2024-05-12 13:16:00,CUST162,PayPal,380,Successful,M1014,North America,JPY,13,12,5,2024
TX1077,2024-07-13 16:55:00,CUST132,Credit Card,339,Successful,M1042,Europe,JPY,16,13,7,2024
TX1078,2024-03-05 00:44:00,CUST147,Debit Card,446,Successful,M1005,North America,USD,0,5,3,2024
TX1079,2024-01-07 12:32:00,CUST150,PayPal,489,Pending,M1037,Europe,USD,12,7,1,2024
TX1080,2024-09-14 08:42:00,CUST124,Bank Transfer,349,Successful,M1038,North America,JPY,8,14,9,2024
TX1081,2024-05-31 19:13:00,CUST153,Debit Card,501,Successful,M1040,Asia,JPY,19,31,5,2024
TX1082,2024-06-13 23:59:00,CUST101,Credit Card,321,Successful,M1034,Europe,JPY,23,13,6,2024
TX1083,2024-11-22 13:48:00,CUST103,Credit Card,348,Failed,M1021,Europe,JPY,13,22,11,2024
TX1084,2024-07-30 02:57:00,CUST197,Credit Card,311,Failed,M1031,North America,EUR,2,30,7,2024
TX1085,2024-06-25 05:41:00,CUST115,Debit Card,521,Pending,M1010,Asia,EUR,5,25,6,2024
TX1086,2024-02-13 03:23:00,CUST196,PayPal,548,Successful,M1037,North America,EUR,3,13,2,2024
TX1087,2024-06-20 20:11:00,CUST133,Bank Transfer,341,Successful,M1040,Europe,JPY,20,20,6,2024
TX1088,2024-11-17 13:08:00,CUST195,Credit Card,526,Successful,M1023,Europe,JPY,13,17,11,2024
TX1089,2024-07-12 01:18:00,CUST138,PayPal,348,Successful,M1011,Asia,JPY,1,12,7,2024
TX1090,2024-05-27 21:36:00,CUST101,Debit Card,411,Successful,M1016,Asia,USD,21,27,5,2024
TX1091,2024-03-31 15:57:00,CUST184,Debit Card,352,Failed,M1014,North America,JPY,15,31,3,2024
TX1092,2024-07-20 08:39:00,CUST168,Debit Card,544,Successful,M1022,North America,JPY,8,20,7,2024
TX1093,2024-03-27 22:32:00,CUST155,Bank Transfer,312,Successful,M1042,Europe,JPY,22,27,3,2024
TX1094,2024-10-02 06:12:00,CUST101,PayPal,467,Successful,M1028,North America,JPY,6,2,10,2024
TX1095,2024-04-08 12:39:00,CUST110,Credit Card,533,Successful,M1050,Asia,JPY,12,8,4,2024
TX1096,2024-09-03 20:47:00,CUST171,Debit Card,480,Successful,M1008,Asia,EUR,20,3,9,2024
TX1097,2024-09-29 07:01:00,CUST199,PayPal,533,Successful,M1049,Asia,USD,7,29,9,2024
TX1098,2024-06-25 14:23:00,CUST181,Debit Card,407,Successful,M1018,Europe,JPY,14,25,6,2024
TX1099,2024-11-25 16:21:00,CUST123,PayPal,488,Successful,M1030,Europe,USD,16,25,11,2024
